排名,电影名称,豆瓣评分,导演,主演,电影类型,上映时间,片长,alt,图片地址
1,肖申克的救赎,9.70,弗兰克·德拉邦特,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿","犯罪,剧情","1994-09-10(多伦多电影节),1994-10-14(美国)",142分钟,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
2,霸王别姬,9.60,陈凯歌,"张国荣,张丰毅,巩俐","剧情,爱情,同性",1993-01-01(中国香港),171 分钟,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
3,阿甘正传,9.50,罗伯特·泽米吉斯,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯","剧情,爱情","1994-06-23(洛杉矶首映),1994-07-06(美国)",142分钟,https://movie.douban.com/subject/1292720/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2559011361.jpg
4,这个杀手不太冷,9.40,吕克·贝松,"让·雷诺,娜塔莉·波特曼,加里·奥德曼","剧情,动作,犯罪",1994-09-14(法国),"110分钟(剧场版),133分钟(国际版)",https://movie.douban.com/subject/1295644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
5,美丽人生,9.50,罗伯托·贝尼尼,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼","剧情,喜剧,爱情",1997-12-20(意大利),"116分钟,125分钟(加长版)",https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.jpg
6,泰坦尼克号,9.40,詹姆斯·卡梅隆,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩","剧情,爱情,灾难","1997-11-01(东京电影节),1997-12-19(美国),1998-04-03(中国大陆)","194分钟,227分钟(白星版)",https://movie.douban.com/subject/1292722/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
7,千与千寻,9.30,宫崎骏,"柊瑠美,入野自由,夏木真理","剧情,动画,奇幻","2001-07-20(日本),2019-06-21(中国大陆)",125分钟,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
8,辛德勒的名单,9.50,史蒂文·斯皮尔伯格,"连姆·尼森,本·金斯利,拉尔夫·费因斯","剧情,历史,战争","1993-11-30(华盛顿首映),1994-02-04(美国)",195分钟,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
9,盗梦空间,9.30,克里斯托弗·诺兰,"莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾伦·佩吉","剧情,科幻,悬疑","2010-07-16(美国),2010-09-01(中国大陆)",148分钟,https://movie.douban.com/subject/3541415/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
10,忠犬八公的故事,9.30,拉斯·霍尔斯道姆,"理查·基尔,萨拉·罗默尔,琼·艾伦",剧情,"2009-06-13(西雅图电影节),2010-03-12(英国)",93分钟,https://movie.douban.com/subject/3011091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg
11,机器人总动员,9.30,安德鲁·斯坦顿,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林","爱情,科幻,动画",2008-06-27(美国),98分钟,https://movie.douban.com/subject/2131459/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
12,三傻大闹宝莱坞,9.20,拉吉库马尔·希拉尼,"阿米尔·汗,卡琳娜·卡普尔,马达范","剧情,喜剧,爱情","2009-12-25(印度),2011-12-08(中国大陆)",171分钟(印度),https://movie.douban.com/subject/3793023/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
13,放牛班的春天,9.30,克里斯托夫·巴拉蒂,"热拉尔·朱尼奥,弗朗索瓦·贝莱昂,凯德·麦拉德","剧情,音乐","2004-03-17(法国),2004-10-16(中国大陆)",97分钟,https://movie.douban.com/subject/1291549/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
14,海上钢琴师,9.20,朱塞佩·托纳多雷,"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩","剧情,音乐",1998-10-28(意大利),"165分钟,120分钟(法国版),169分钟(加长版)",https://movie.douban.com/subject/1292001/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p511146807.jpg
15,楚门的世界,9.20,彼得·威尔,"金·凯瑞,劳拉·琳妮,艾德·哈里斯","剧情,科幻",1998-06-05(美国),103分钟,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
16,星际穿越,9.30,克里斯托弗·诺兰,"马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦","剧情,科幻,冒险","2014-11-07(美国),2014-11-12(中国大陆)",169分钟,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
17,大话西游之大圣娶亲,9.20,刘镇伟,"周星驰,吴孟达,朱茵","喜剧,爱情,奇幻","1995-02-04(中国香港),2014-10-24(中国大陆),2017-04-13(中国大陆重映)","95分钟,110分钟(重映版)",https://movie.douban.com/subject/1292213/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
18,龙猫,9.20,宫崎骏,"日高法子,坂本千夏,糸井重里","动画,奇幻,冒险","1988-04-16(日本),2018-12-14(中国大陆)",86分钟,https://movie.douban.com/subject/1291560/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
19,熔炉,9.30,黄东赫,"孔侑,郑有美,金志映",剧情,2011-09-22(韩国),125分钟,https://movie.douban.com/subject/5912992/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
20,教父,9.30,弗朗西斯·福特·科波拉,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩","剧情,犯罪","1972-03-15(纽约首映),1972-03-24(美国)",175 分钟,https://movie.douban.com/subject/1291841/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
21,无间道,9.20,"刘伟强,麦兆辉","刘德华,梁朝伟,黄秋生","剧情,犯罪,悬疑","2002-12-12(中国香港),2003-09-05(中国大陆)","101分钟,97分钟(导演剪辑版)",https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
22,疯狂动物城,9.20,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什","金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴","喜剧,动画,冒险","2016-03-04(中国大陆),2016-03-04(美国)","109分钟(中国大陆),108分钟",https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg
23,当幸福来敲门,9.10,加布里埃莱·穆奇诺,"威尔·史密斯,贾登·史密斯,坦迪·牛顿","剧情,传记,家庭","2006-12-15(美国),2008-01-17(中国大陆)",117分钟,https://movie.douban.com/subject/1849031/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1312700628.jpg
24,怦然心动,9.00,罗伯·莱纳,"玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮","剧情,喜剧,爱情","2010-07-26(好莱坞首映),2010-09-10(美国)",90分钟,https://movie.douban.com/subject/3319755/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p663036666.jpg
25,触不可及,9.20,"奥利维埃·纳卡什,埃里克·托莱达诺","弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼","剧情,喜剧",2011-11-02(法国),112分钟,https://movie.douban.com/subject/6786002/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
26,蝙蝠侠：黑暗骑士,9.10,克里斯托弗·诺兰,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特","剧情,动作,科幻","2008-07-14(纽约首映),2008-07-18(美国)",152分钟,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
27,乱世佳人,9.30,"维克多·弗莱明,乔治·库克,山姆·伍德","费雯·丽,克拉克·盖博,奥利维娅·德哈维兰","剧情,历史,爱情","1939-12-15(亚特兰大首映),1940-01-17(美国)","238分钟,234分钟",https://movie.douban.com/subject/1300267/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
28,活着,9.20,张艺谋,"葛优,巩俐,姜武","剧情,历史,家庭","1994-05-17(戛纳电影节),1994-06-30(中国香港)",132分钟,https://movie.douban.com/subject/1292365/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
29,控方证人,9.60,比利·怀德,"泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿","剧情,犯罪,悬疑",1957-12-17(美国),116分钟,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
30,少年派的奇幻漂流,9.00,李安,"苏拉·沙玛,伊尔凡·可汗,拉菲·斯波","剧情,奇幻,冒险","2012-09-28(纽约电影节),2012-11-21(美国),2012-11-22(中国大陆)",127分钟,https://movie.douban.com/subject/1929463/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
31,摔跤吧！爸爸,9.00,涅提·蒂瓦里,"阿米尔·汗,法缇玛·萨那·纱卡,桑亚·玛荷塔","剧情,传记,运动","2016-12-23(印度),2017-05-05(中国大陆)","161分钟(印度),140分钟(中国大陆)",https://movie.douban.com/subject/26387939/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg
32,指环王3：王者无敌,9.20,彼得·杰克逊,"维果·莫腾森,伊利亚·伍德,西恩·奥斯汀","剧情,动作,奇幻","2003-12-17(美国),2004-03-12(中国大陆)","201分钟,254分钟(加长版),263分钟(蓝光加长版)",https://movie.douban.com/subject/1291552/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg
33,天空之城,9.10,宫崎骏,"田中真弓,横泽启子,初井言荣","动画,奇幻,冒险","1986-08-02(日本),1992(中国大陆)",125分钟,https://movie.douban.com/subject/1291583/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg
