名称,详情页,位置,面积,朝向,租金,户型,发布时间,其他
整租·新凯城尚樱苑 3室2厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,松江-泗泾-新凯城尚樱苑,84㎡,南,3398 元/月,3室2厅1卫,19天前发布,"
随时看房
"
整租·金杨新村三街坊 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-金杨-金杨新村三街坊,43㎡,南,4500 元/月,1室1厅1卫,19天前发布,"
近地铁
随时看房
"
整租·银河新都 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,闵行-春申-银河新都,51㎡,南,3800 元/月,1室1厅1卫,13天前发布,"
精装
随时看房
"
整租·凌三小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-洋泾-凌三小区,42㎡,南,3800 元/月,1室1厅1卫,26天前发布,"
随时看房
"
整租·金桂苑(徐汇) 2室2厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,徐汇-康健-金桂苑(徐汇),88㎡,南,7300 元/月,2室2厅1卫,1个月前发布,"
近地铁
随时看房
"
整租·临沂三村 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-南码头-临沂三村,39㎡,南,4000 元/月,1室1厅1卫,1个月前发布,"
近地铁
随时看房
"
整租·崧泽华城秀景苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,青浦-赵巷-崧泽华城秀景苑,69㎡,南,3600 元/月,2室1厅1卫,9天前发布,"
精装
随时看房
"
整租·海院新村 2室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-源深-海院新村,54㎡,南,5500 元/月,2室1厅1卫,8天前发布,"
近地铁
随时看房
"
整租·报春一村 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2329740728684781568.html,闵行-莘庄-报春一村,50㎡,南北,4000 元/月,2室1厅1卫,9天前发布,"
随时看房
"
整租·齐八小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-世博-齐八小区,47㎡,南,4000 元/月,1室1厅1卫,24天前发布,"
近地铁
精装
随时看房
"
整租·崮山小区二街坊 2室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-洋泾-崮山小区二街坊,46㎡,南,5400 元/月,2室1厅1卫,9天前发布,"
近地铁
精装
随时看房
"
整租·莘松八村 2室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,闵行-莘庄-莘松八村,62㎡,南,4200 元/月,2室1厅1卫,26天前发布,"
随时看房
"
整租·海炼大楼 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-洋泾-海炼大楼,46㎡,南,4300 元/月,1室1厅1卫,16天前发布,"
近地铁
随时看房
"
整租·高兴花园 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2329740728684781568.html,闵行-春申-高兴花园,67㎡,南北,4000 元/月,2室1厅1卫,10天前发布,"
精装
随时看房
"
整租·金杨七街坊 2室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-金杨-金杨七街坊,70㎡,南,5000 元/月,2室1厅1卫,9天前发布,"
近地铁
随时看房
"
整租·海防新村 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-洋泾-海防新村,30㎡,南,3400 元/月,1室1厅1卫,16天前发布,"
随时看房
"
整租·天山华庭 2室2厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,长宁-天山-天山华庭,91㎡,南,11500 元/月,2室2厅1卫,13天前发布,"
近地铁
随时看房
"
整租·胶南小区 1室0厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-南码头-胶南小区,34㎡,南,3900 元/月,1室0厅1卫,24天前发布,"
精装
随时看房
"
整租·新凯城银杏苑 3室2厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,松江-泗泾-新凯城银杏苑,89㎡,南,3398 元/月,3室2厅1卫,13天前发布,"
随时看房
"
整租·天山怡景苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,长宁-天山-天山怡景苑,88㎡,南,11700 元/月,2室2厅1卫,21天前发布,"
近地铁
精装
随时看房
"
整租·凌兆新村 2室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-三林-凌兆新村,64㎡,南,5300 元/月,2室1厅1卫,15天前发布,"
近地铁
随时看房
"
整租·临沂八村 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-南码头-临沂八村,40㎡,南,4500 元/月,1室1厅1卫,20天前发布,"
近地铁
精装
随时看房
"
整租·吴中公寓 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,徐汇-田林-吴中公寓,62㎡,南,6500 元/月,1室1厅1卫,1个月前发布,"
近地铁
精装
随时看房
"
整租·剑河家苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,长宁-北新泾-剑河家苑,77㎡,南,8300 元/月,2室1厅1卫,12天前发布,"
近地铁
随时看房
"
整租·莘松三村 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,闵行-莘庄-莘松三村,35㎡,南,4000 元/月,1室1厅2卫,1年前发布,"
精装
双卫生间
随时看房
"
整租·大盈公寓 3室2厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,青浦-夏阳-大盈公寓,113㎡,南,3500 元/月,3室2厅1卫,8天前发布,"
精装
随时看房
"
整租·金杨六街坊 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-金杨-金杨六街坊,52㎡,南,5300 元/月,1室1厅1卫,1个月前发布,"
近地铁
随时看房
"
整租·上海花城 2室2厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,长宁-中山公园-上海花城,108㎡,南,11300 元/月,2室2厅1卫,22天前发布,"
随时看房
"
整租·莘松七村 2室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,闵行-莘庄-莘松七村,68㎡,南,4200 元/月,2室1厅1卫,26天前发布,"
随时看房
"
整租·金杨七街坊 1室1厅 南,https://sh.lianjia.com/zufang/SH2329740728684781568.html,浦东-金杨-金杨七街坊,49㎡,南,4550 元/月,1室1厅1卫,28天前发布,"
近地铁
随时看房
"
